Name,Serving size,Serving unit,Serving weight (g),Calories,Protein,Fats,Saturated fats,Monounsaturated fats,Polyunsaturated fats,Trans fats,Carbs,Total sugars,Added sugars,Fiber,Sodium,Potassium,Cholesterol
"Peppers, bell, red, raw",100,g,100,31.318,0.896,0.126,0,0,0,0,6.65,0,0,1.16,0,213,0
"Peppers, bell, orange, raw",100,g,100,31.732,0.882,0.156,0,0,0,0,6.7,0,0,0.967,0,201,0
"Buttermilk, low fat",100,g,100,49.559,3.46,1.08,0.552,0.199,0,0,4.81,0,0,0,92.5,158,4.79
"Yogurt, plain, whole milk",100,g,100,106.626,3.82,4.48,2.32,0.874,0,0,5.57,0,0,0,41.8,164,14.2
"Yogurt, Greek, plain, whole milk",100,g,100,123.762,8.78,4.39,2.39,0.958,0,0,4.75,0,0,0,33.8,147,16.8
"Cheese, parmesan, grated, refrigerated",100,g,100,612.2,30.1,29.5,17.2,6.02,0,0,4.33,0,0,0,1050,74,86
"Cheese, feta, whole milk, crumbled",100,g,100,411.44,19.7,19.1,11.2,4.18,0,0,5.58,0,0,0,1030,105,57.5
"Flour, almond",100,g,100,621.4,26.2,50.2,0,0,0,0,16.2,0,0,9.27,0.894,667,0
"Flour, oat, whole grain",100,g,100,389.19,13.2,6.31,0,0,0,0,69.9,0,0,10.5,3.62,373,0
"Flour, potato",100,g,100,360.599,8.11,0.951,0,0,0,0,79.9,0,0,5.4,47.7,1270,0
"Peanut butter, creamy",100,g,100,1071.5,24,49.4,8.42,30.7,9.78,0,22.7,0,0,6.32,221,654,0
"Sesame butter, creamy",100,g,100,1218.93,19.7,62.4,8.97,22.6,26.4,0,14.2,0,0,8.37,63.6,408,0
"Almond butter, creamy",100,g,100,1108.95,20.8,53,4.25,34.7,12.6,0,21.2,0,0,9.72,0.996,745,0
"Flaxseed, ground",100,g,100,850.58,18,37.3,3.28,5.94,24.7,0,34.4,0,0,23.1,36.7,793,0
"Cottage cheese, full fat, large or small curd",100,g,100,134.424,11.6,4.22,2.6,0.916,0,0,4.6,0,0,0,350,124,18
"Cream cheese, full fat, block",100,g,100,582.48,5.79,33.5,19.7,6.92,0,0,4.56,0,0,0,368,125,101
"Cream, heavy",100,g,100,593.34,2.02,35.6,20.4,7.34,0,0,3.8,0,0,0,20.6,96.9,103
"Cream, sour, full fat",100,g,100,327.02,3.07,18,10.7,3.8,0,0,5.56,0,0,0,50,154,52.7
"Lettuce, iceberg, raw",100,g,100,17.114,0.742,0.074,0,0,0,0,3.37,0,0,0,16.1,139,0
"Lettuce, romaine, green, raw",100,g,100,20.787,0.977,0.071,0,0,0,0,4.06,0,0,0,23,260,0
"Lettuce, leaf, red, raw",100,g,100,17.526,0.883,0.106,0,0,0,0,3.26,0,0,0,24.9,321,0
"Lettuce, leaf, green, raw",100,g,100,22.044,1.09,0.156,0,0,0,0,4.07,0,0,0,28.9,277,0
"Nuts, pine nuts, raw",100,g,100,688.9,15.7,61.3,0,0,0,0,18.6,0,0,3.94,0,655,0
"Nuts, almonds, whole, raw",100,g,100,1042.42,21.5,51.1,3.78,31.3,11.2,0,20,0,0,10.8,0,733,0
"Nuts, walnuts, English, halves, raw",100,g,100,1314.03,14.6,69.7,6.05,9.62,49.3,0,10.9,0,0,5.21,0,424,0
"Nuts, pecans, halves, raw",100,g,100,1368.28,9.96,73.3,6.46,39.3,22.9,0,12.7,0,0,5.79,0,360,0
"Oats, whole grain, rolled, old fashioned",100,g,100,381.81,13.5,5.89,0,0,0,0,68.7,0,0,0,0.668,350,0
"Oats, whole grain, steel cut",100,g,100,381.4,12.5,5.8,0,0,0,0,69.8,0,0,0,0.311,376,0
"Pineapple, raw",100,g,100,60.143,0.461,0.211,0,0,0,0,14.1,0,0,0.935,0,137,0
"Cherries, sweet, dark red, raw",100,g,100,70.688,1.04,0.192,0,0,0,0,16.2,0,0,0,0,230,0
"Beans, snap, green, raw",100,g,100,39.995,1.97,0.275,0,0,0,0,7.41,0,0,3.01,0,290,0
"Potatoes, russet, without skin, raw",100,g,100,83.52,2.27,0.36,0,0,0,0,17.8,0,0,0,2.74,450,0
"Potatoes, red, without skin, raw",100,g,100,75.672,2.06,0.248,0,0,0,0,16.3,0,0,0,2.86,472,0
"Potatoes, gold, without skin, raw",100,g,100,73.616,1.81,0.264,0,0,0,0,16,0,0,0,2.24,446,0
"Sweet potatoes, orange flesh, without skin, raw",100,g,100,78.895,1.58,0.375,0,0,0,0,17.3,0,0,0,0,486,0
"Celery, raw",100,g,100,16.706,0.492,0.162,0,0,0,0,3.32,0,0,0,97.2,265,0
"Cucumber, with peel, raw",100,g,100,15.902,0.625,0.178,0,0,0,0,2.95,0,0,0,1.52,170,0
"Cabbage, green, raw",100,g,100,31.416,0.961,0.228,0,0,0,0,6.38,0,0,0,16.1,207,0
"Cabbage, red, raw",100,g,100,34.046,1.24,0.214,0,0,0,0,6.79,0,0,0,11.7,269,0
"Strawberries, raw",100,g,100,36.384,0.641,0.22,0,0,0,0,7.96,0,0,0,0,161,0
"Raspberries, raw",100,g,100,57.332,1.01,0.188,0,0,0,0,12.9,0,0,0,0,156,0
"Blueberries, raw",100,g,100,63.966,0.703,0.306,0,0,0,0,14.6,0,0,0,0,85.6,0
"Grapes, red, seedless, raw",100,g,100,85.932,0.914,0.164,0,0,0,0,20.2,0,0,0,7,229,0
"Grapes, green, seedless, raw",100,g,100,80.084,0.899,0.232,0,0,0,0,18.6,0,0,0,3.17,218,0
"Applesauce, unsweetened, with added vitamin C",100,g,100,51.75,0.273,0.162,0,0,0,0,12.3,0,0,0,0.504,108,0
"Flour, amaranth",100,g,100,384.16,13.2,6.24,0,0,0,0,68.8,0,0,7.21,0,396,0
"Flour, quinoa",100,g,100,385,11.9,6.6,0,0,0,0,69.5,0,0,6.3,6.32,551,0
"Flour, sorghum",100,g,100,374.99,8.27,3.59,0,0,0,0,77.4,0,0,6.02,0,335,0
"Flour, buckwheat",100,g,100,357.84,8.88,2.48,0,0,0,0,75,0,0,10.4,0,378,0
"Flour, rye",100,g,100,359.59,8.4,1.91,0,0,0,0,77.2,0,0,13.7,0,434,0
"Flour, barley",100,g,100,366.53,8.72,2.45,0,0,0,0,77.4,0,0,12.8,20.3,367,0
"Flour, cassava",100,g,100,357.318,0.918,0.494,0,0,0,0,87.3,0,0,4.83,13.1,198,0
"Buckwheat, whole grain",100,g,100,356.16,11.1,3.04,0,0,0,0,71.1,0,0,4.05,0,414,0
"Millet, whole grain",100,g,100,375.31,10,4.19,0,0,0,0,74.4,0,0,2.62,0,214,0
"Rice, brown, long grain, unenriched, raw",100,g,100,365.59,7.25,3.31,0,0,0,0,76.7,0,0,3.02,0,250,0
"Rice, white, long grain, unenriched, raw",100,g,100,358.63,7.04,1.03,0,0,0,0,80.3,0,0,0.149,0.462,82.3,0
"Beef, ground, 90% lean meat / 10% fat, raw",100,g,100,176,20,10,4,0,0,1,0,0,0,0,66,321,65
"Beef, ground, 80% lean meat / 20% fat, raw",100,g,100,254,17,20,8,0,0,1,0,0,0,0,66,270,71
"Pork, ground, raw",100,g,100,378.784,17.8,17.5,6.28,7.78,2.55,0.066,0,0,0,0,53.6,318,71.2
"Chicken, ground, with additives, raw",100,g,100,182.219,17.9,7.16,1.56,2.17,1.38,0.021,0,0,0,0,63,302,81.7
"Turkey, ground, 93% lean/ 7% fat, raw",100,g,100,225.719,17.3,9.59,2.26,2.87,2.59,0.081,0,0,0,0,80.2,246,82.3
"Nuts, brazilnuts, raw",100,g,100,663,15,57.4,0,0,0,0,21.6,0,0,5.98,0,592,0
"Nuts, cashew nuts, raw",100,g,100,564.9,17.4,38.9,0,0,0,0,36.3,0,0,4.1,4.76,638,0
"Nuts, hazelnuts or filberts, raw",100,g,100,641.5,13.5,53.5,0,0,0,0,26.5,0,0,8.41,0,636,0
"Peanuts, raw",100,g,100,588.5,23.2,43.3,0,0,0,0,26.5,0,0,8.01,1.49,636,0
"Flour, chestnut",100,g,100,416.141,5.29,4.64,0.689,1.26,1.52,0,80.5,0,0,8.71,0,1030,0
"Nuts, macadamia nuts, raw",100,g,100,711.66,7.79,64.9,0,0,0,0,24.1,0,0,7.56,0,373,0
"Nuts, pistachio nuts, raw",100,g,100,597.8,20.5,45,0,0,0,0,27.7,0,0,6.97,0,947,0
"Seeds, pumpkin seeds (pepitas), raw",100,g,100,554.4,29.9,40,0,0,0,0,18.7,0,0,5.08,0,691,0
"Seeds, sunflower seed, kernel, raw",100,g,100,609.2,18.9,48.4,0,0,0,0,24.5,0,0,7.22,0,657,0
"Flour, coconut",100,g,100,571.953,16.1,15.3,14,0.806,0.111,0,58.9,0,0,34.2,46.9,2090,0
"Beans, cannellini, dry",100,g,100,345.4,21.6,2.2,0,0,0,0,59.8,0,0,0,0,1420,0
"Chickpeas, (garbanzo beans, bengal gram), dry",100,g,100,383.23,21.3,6.27,0,0,0,0,60.4,0,0,0,8.78,1070,0
"Lentils, dry",100,g,100,360.48,23.6,1.92,0,0,0,0,62.2,0,0,0,0,949,0
"Blackeye pea, dry",100,g,100,353.78,21.2,2.42,0,0,0,0,61.8,0,0,0,3.46,1240,0
"Beans, black, canned, sodium added, drained and rinsed",100,g,100,118.27,6.91,1.27,0,0,0,0,19.8,0,0,0,218,253,0
"Beans, navy, canned, sodium added, drained and rinsed",100,g,100,118.88,6.57,1.4,0,0,0,0,20,0,0,0,190,184,0
"Beans, cannellini, canned, sodium added, drained and rinsed",100,g,100,115.37,7.41,1.17,0,0,0,0,18.8,0,0,0,164,203,0
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",100,g,100,137.18,7.02,3.1,0,0,0,0,20.3,0,0,0,202,137,0
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",100,g,100,126.54,7.8,1.26,0,0,0,0,21,0,0,0,172,227,0
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",100,g,100,126.54,7.31,1.3,0,0,0,0,21.4,0,0,0,158,209,0
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",100,g,100,80.07,4.73,1.15,0,0,0,0,12.7,0,0,0,207,109,0
"Beans, pinto, canned, sodium added, drained and rinsed",100,g,100,116.59,6.69,1.27,0,0,0,0,19.6,0,0,0,202,210,0
"Blackeye pea, canned, sodium added, drained and rinsed",100,g,100,116.18,6.92,1.3,0,0,0,0,19.2,0,0,0,227,138,0
"Beans, great northern, canned, sodium added, drained and rinsed",100,g,100,116.75,7.03,1.27,0,0,0,0,19.3,0,0,0,223,213,0
"Pork, loin, boneless, raw",100,g,100,247.381,21.1,9.47,3.28,3.95,1.38,0.029,0,0,0,0,40.2,361,55.9
"Pork, loin, tenderloin, boneless, raw",100,g,100,140.904,21.6,3.9,0.866,0.862,0.418,0.01,0,0,0,0,41.4,397,59.6
"Chicken, breast, boneless, skinless, raw",100,g,100,116.577,22.5,1.93,0.349,0.369,0.296,0.009,0,0,0,0,65.8,330,72.7
"Chicken, thigh, boneless, skinless, raw",100,g,100,193.776,18.6,7.92,1.66,2.24,1.42,0.024,0,0,0,0,62.3,272,91.7
"Beef, ribeye, steak, boneless, choice, raw",100,g,100,410.527,18.7,20,7.97,7.73,0.629,0.974,0,0,0,0,42.5,288,62.7
"Beef, round, top round, boneless, choice, raw",100,g,100,175.502,21.5,5.7,1.7,1.7,0.238,0.228,0.852,0,0,0,45.5,352,59.3
"Beef, chuck, roast, boneless, choice, raw",100,g,100,365.065,18.4,17.8,6.34,7.02,0.556,0.669,0,0,0,0,48.4,281,66.8
"Beef, flank, steak, boneless, choice, raw",100,g,100,235.587,20.1,9.4,3.55,3.59,0.314,0.389,0,0,0,0,51.3,332,57.7
"Yogurt, plain, nonfat",100,g,100,50.023,4.23,0.087,0,0,0,0,8.08,0,0,0,51.5,210,3.38
"Cheese, monterey jack, solid",100,g,100,624.32,22.6,32.6,19.2,6.68,0,0,1.9,0,0,0,662,82.9,99.8
"Cheese, pasteurized process cheese food or product, American, singles",100,g,100,477.57,15.6,23.9,13.7,4.89,0,0,8.19,0,0,0,1420,212,73.2
"Cheese, provolone, sliced",100,g,100,554.16,23.5,28.1,16.2,5.74,0,0,2.45,0,0,0,601,94.8,85.4
"Cheese, oaxaca, solid",100,g,100,453.86,22.1,22.1,12.7,4.74,0,0,2.4,0,0,0,734,80.7,65.5
"Cheese, queso fresco, solid",100,g,100,468.68,18.9,23.4,14,4.96,0,0,2.96,0,0,0,626,126,76.1
"Cheese, cotija, solid",100,g,100,547.35,23.8,27.2,15.9,5.93,0,0,2.72,0,0,0,1620,117,89.3
"Fish, salmon, sockeye, wild caught, raw",100,g,100,156.808,22.3,4.94,0.722,1.14,0.71,0,0,0,0,0,53.3,330,59.3
"Fish, salmon, Atlantic, farm raised, raw",100,g,100,301.25,20.3,13.1,2.28,5.01,4.06,0,0,0,0,0,49.5,378,62.1
"Fish, tilapia, farm raised, raw",100,g,100,114.286,19,2.48,0.647,0.769,0.358,0,0,0,0,0,93.7,342,47.6
"Crustaceans, shrimp, farm raised, raw",100,g,100,71.549,15.6,0.801,0,0,0,0,0.485,0,0,0,475,146,136
"Fish, cod, Atlantic, wild caught, raw",100,g,100,71.771,16.1,0.668,0.044,0.026,0.081,0,0,0,0,0,299,245,47.4
"Fish, catfish, farm raised, raw",100,g,100,186.78,16.5,7.31,1.6,3.32,1.19,0,0,0,0,0,60.5,292,66
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",100,g,100,81.672,18.6,0.808,0,0,0,0,0,0,0,0,331,235,114
"Squash, summer, green, zucchini, includes skin, raw",100,g,100,18.861,0.984,0.205,0,0,0,0,3.27,0,0,0.752,0,226,0
"Squash, summer, yellow, includes skin, raw",100,g,100,22.339,0.891,0.135,0,0,0,0,4.39,0,0,0.956,0,220,0
"Squash, winter, butternut, raw",100,g,100,48.112,1.15,0.168,0,0,0,0,10.5,0,0,1.96,0,329,0
"Squash, winter, acorn, raw",100,g,100,48.638,1.25,0.182,0,0,0,0,10.5,0,0,2.64,0,332,0
"Cabbage, bok choy, raw",100,g,100,20.226,1.02,0.234,0,0,0,0,3.51,0,0,1.26,14.3,228,0
"Cauliflower, raw",100,g,100,27.582,1.64,0.238,0,0,0,0,4.72,0,0,1.95,20,274,0
"Collards, raw",100,g,100,46.89,2.97,0.77,0,0,0,0,7.02,0,0,3.82,18.4,410,0
"Brussels sprouts, raw",100,g,100,59.485,3.98,0.565,0,0,0,0,9.62,0,0,4.78,25.7,477,0
"Beets, raw",100,g,100,44.638,1.69,0.302,0,0,0,0,8.79,0,0,3.12,112,342,0
"Eggplant, raw",100,g,100,26.088,0.852,0.12,0,0,0,0,5.4,0,0,2.45,0.442,222,0
"Tomatoes, whole, canned, solids and liquids, with salt added",100,g,100,22.486,0.868,0.206,0,0,0,0,4.29,0,0,0.872,112,203,0
"Tomato, sauce, canned, with salt added",100,g,100,34.158,1.35,0.382,0,0,0,0,6.33,0,0,1.64,417,356,0
"Tomato, paste, canned, without salt added",100,g,100,104.308,4.23,0.732,0,0,0,0,20.2,0,0,4.7,61.2,972,0
"Tomatoes, crushed, canned",100,g,100,37.902,1.44,0.398,0,0,0,0,7.14,0,0,1.94,140,346,0
"Tomato, puree, canned",100,g,100,40.865,1.58,0.265,0,0,0,0,8.04,0,0,1.97,29.4,416,0
"Apricot, with skin, raw",100,g,100,48.289,0.961,0.405,0,0,0,0,10.2,0,0,1.51,0,231,0
"Melons, honeydew, raw",100,g,100,36.668,0.531,0.216,0,0,0,0,8.15,0,0,0,21.2,209,0
"Plantains, ripe, raw",100,g,100,136.677,1.16,0.893,0,0,0,0,31,0,0,2.12,0,396,0
"Plantains, underripe, raw",100,g,100,145.485,1.23,0.685,0,0,0,0,33.6,0,0,2.53,0,406,0
"Chia seeds, dry, raw",100,g,100,517.3,17,32.9,0,0,0,0,38.3,0,0,0,0,642,0
"Bulgur, dry, raw",100,g,100,372.58,11.8,2.42,0,0,0,0,75.9,0,0,11.7,2.18,358,0
"Wild rice, dry, raw",100,g,100,369.3,12.8,1.7,0,0,0,0,75.7,0,0,4.26,1.01,299,0
"Arugula, baby, raw",100,g,100,31.005,1.65,0.325,0,0,0,0,5.37,0,0,2.28,86.9,407,0
"Asparagus, green, raw",100,g,100,28.104,1.44,0.216,0,0,0,0,5.1,0,0,1.88,2.46,278,0
"Avocado, Hass, peeled, raw",100,g,100,223.22,1.81,20.3,0,0,0,0,8.32,0,0,0,0,576,0
"Rice, black, unenriched, raw",100,g,100,370.04,7.57,3.44,0,0,0,0,77.2,0,0,4.18,0,256,0
"Corn, sweet, yellow and white kernels,  fresh, raw",100,g,100,84.63,2.79,1.63,0,0,0,0,14.7,0,0,2.43,0,237,0
"Einkorn, grain, dry, raw",100,g,100,369.49,15.1,3.81,0,0,0,0,68.7,0,0,8.91,0,432,0
"Farro, pearled, dry, raw",100,g,100,366.7,12.6,3.1,0,0,0,0,72.1,0,0,7.31,0.845,385,0
"Fonio, grain, dry, raw",100,g,100,369.09,7.17,1.69,0,0,0,0,81.3,0,0,2.2,2.97,43.8,0
"Khorasan, grain, dry, raw",100,g,100,371.6,14.8,2.8,0,0,0,0,71.8,0,0,10.5,3.94,450,0
"Kiwifruit (kiwi), green, peeled, raw",100,g,100,65,1.01,0.64,0,0,0,0,13.8,0,0,2.13,2.28,302,0
"Mandarin, seedless, peeled, raw",100,g,100,61.882,1.04,0.458,0,0,0,0,13.4,0,0,1.33,0,167,0
"Mango, Tommy Atkins, peeled, raw",100,g,100,68.596,0.562,0.572,0,0,0,0,15.3,0,0,1.75,0,165,0
"Mango, Ataulfo, peeled, raw",100,g,100,78.481,0.688,0.681,0,0,0,0,17.4,0,0,1.29,0,204,0
"Corn flour, masa harina, white or yellow, dry, raw",100,g,100,376.1,7.56,4.34,0,0,0,0,76.7,0,0,7.04,2.73,277,0
"Pear, Anjou, green, with skin, raw",100,g,100,63.787,0.312,0.371,0,0,0,0,14.8,0,0,2.64,0.398,122,0
"Plum, black, with skin, raw",100,g,100,58.85,0.578,0.282,0,0,0,0,13.5,0,0,1.35,0,186,0
"Rice, red, unenriched, dry, raw",100,g,100,370,8.56,3.44,0,0,0,0,76.2,0,0,4.2,0.438,245,0
"Sorghum bran, white, unenriched, dry, raw",100,g,100,402.94,11.2,9.26,0,0,0,0,68.7,0,0,35,2.92,852,0
"Sorghum flour, white, pearled, unenriched, dry, raw",100,g,100,363.96,10.2,3.24,0,0,0,0,73.5,0,0,3.3,0,274,0
"Sorghum grain, white, pearled, unenriched, dry, raw",100,g,100,369.74,10.2,3.26,0,0,0,0,74.9,0,0,3.92,0,274,0
"Sorghum, whole grain, white, dry, raw",100,g,100,372.78,10.1,4.22,0,0,0,0,73.6,0,0,8.27,0.329,367,0
"Plantains, overripe, raw",100,g,100,130.39,1.17,0.99,0,0,0,0,29.2,0,0,1.79,0,408,0
"Chicken, drumstick, meat and skin, raw",100,g,100,127.06,18.4,5.94,0,0,0,0,0,0,0,0,91,244,94.6
"Chicken, thigh, meat and skin, raw",100,g,100,189,17.1,13.4,0,0,0,0,0,0,0,0,63.6,246,95.5
"Chicken, wing, meat and skin, raw",100,g,100,169,18.4,10.6,0,0,0,0,0,0,0,0,84.1,194,98.9
"Chicken, breast, meat and skin, raw",100,g,100,128.62,21.4,4.78,0,0,0,0,0,0,0,0,48.1,332,75.4
"Lamb, ground, raw",100,g,100,237.4,17.5,18.6,0,0,0,0,0,0,0,0,53.4,272,75
"Bison, ground, raw",100,g,100,159.52,19.9,8.88,0,0,0,0,0,0,0,0,55.7,301,64.5
"Beef, short loin (NY strip steak), raw",100,g,100,189.584,21.3,11.5,0,0,0,0,0.221,0,0,0,43.1,323,57.6
"Beef, tenderloin steak, raw",100,g,100,143.26,21.1,6.46,0,0,0,0,0.18,0,0,0,44.8,345,64.4
"Beef, top sirloin steak, raw",100,g,100,140.262,22,5.71,0,0,0,0,0.218,0,0,0,42.8,349,60.1
"Pork, chop, center cut, raw",100,g,100,140.52,22.8,5.48,0,0,0,0,0,0,0,0,39.3,366,57.3
"Pork, belly, with skin, raw",100,g,100,383,15.2,35.8,0,0,0,0,0,0,0,0,49.7,208,66.6
"Pawpaw, peeled, seeded, raw",100,g,100,4.6,1.15,0,0,0,0,0,0,0,0,0,0.351,221,0
"Squash, pie pumpkin, peeled, seeded, raw",100,g,100,3.416,0.854,0,0,0,0,0,0,0,0,0,0.312,472,0
"Squash, spaghetti, peeled, seeded, raw",100,g,100,3.168,0.792,0,0,0,0,0,0,0,0,0,0.312,267,0
"Rutabaga, peeled, raw",100,g,100,3.552,0.888,0,0,0,0,0,0,0,0,0,4.59,267,0
"Blackberries, raw",100,g,100,6.12,1.53,0,0,0,0,0,0,0,0,0,1.55,167,0
"Tomatillos, dehusked, raw",100,g,100,4.24,1.06,0,0,0,0,0,0,0,0,0,0.311,239,0
"Cabbage, napa, leaf, destemmed, raw",100,g,100,4.24,1.06,0,0,0,0,0,0,0,0,0,12.6,235,0
"Leeks, bulb and greens, root removed, raw",100,g,100,5.88,1.47,0,0,0,0,0,0,0,0,0,17.7,319,0
"Green onion, (scallion), bulb and greens, root removed, raw",100,g,100,2.676,0.669,0,0,0,0,0,0,0,0,0,9.95,232,0
"Shallots, bulb, peeled, root removed, raw",100,g,100,5.52,1.38,0,0,0,0,0,0,0,0,0,3.64,252,0
"Juice, prune, shelf-stable",100,g,100,1.692,0.423,0,0,0,0,0,0,0,0,0,10.3,216,0
"Juice, pomegranate, from concentrate, shelf-stable",100,g,100,0,0,0,0,0,0,0,0,0,0,0,4.04,166,0
"Juice, tart cherry, from concentrate, shelf-stable",100,g,100,0.588,0.147,0,0,0,0,0,0,0,0,0,1.36,170,0
Watermelon,1,cup,152,46,1,0.2,0,0,0,0,11,9,0,1,2,170,0
"Ground Beef, 95% lean",100,g,100,131,21,5,2,0,0,0.2,0,0,0,0,66,346,62
"Ground Beef, 85% lean",100,g,100,215,19,15,6,0,0,1,0,0,0,0,66,295,68
